"SYMBOL_CODE","Date","TRADE_VOLUME","TRADE_VALUE","TRADE_COUNT","Open","HIGH_PRICE","LOW_PRICE","Close"
"EGS33041C012",11/07/17 12:00 AM,581670,10192173.79,199,17.66,17.66,17.42,17.52
"EGS33041C012",11/08/17 12:00 AM,1035124,17659357.85,419,17.47,17.47,16.8,17.06
"EGS33041C012",11/09/17 12:00 AM,546896,9207097.95,340,17.29,17.29,16.5,16.84
"EGS33041C012",11/12/17 12:00 AM,235932,3960801.66,129,17.13,17.28,16.51,16.79
"EGS33041C012",11/13/17 12:00 AM,85570,1415450.7,66,16.6,16.68,16.45,16.54
"EGS33041C012",11/14/17 12:00 AM,123500,2036826.56,141,16.8,16.8,16.36,16.49
"EGS33041C012",11/15/17 12:00 AM,238663,3942207.35,175,16.79,16.8,16.04,16.52
"EGS33041C012",11/16/17 12:00 AM,1933464,30258522.36,556,16.4,16.4,15.37,15.65
"EGS33041C012",11/19/17 12:00 AM,1024399,15745140.88,721,15.6,15.66,15.18,15.37
"EGS33041C012",11/20/17 12:00 AM,773748,12241403.49,626,15.55,16,15.5,15.82
"EGS33041C012",11/21/17 12:00 AM,1312166,21011011.01,275,15.95,16.2,15.95,16.01
"EGS33041C012",11/22/17 12:00 AM,407468,6524524.28,197,16,16.15,15.95,16.01
"EGS33041C012",11/23/17 12:00 AM,164942,2687317.21,136,16.1,16.4,16.01,16.29
"EGS33041C012",11/26/17 12:00 AM,397721,6705082.84,367,16.19,17.25,16.1,16.86
"EGS33041C012",11/27/17 12:00 AM,116356,1964837.33,150,16.92,17.01,16.72,16.89
"EGS33041C012",11/28/17 12:00 AM,1815318,31868564.21,661,17,17.9,17,17.56
"EGS33041C012",11/29/17 12:00 AM,1581517,27835792.41,446,17.64,17.75,17.5,17.6
"EGS33041C012",12/03/17 12:00 AM,835846,15046968.35,417,17.7,18.18,17.6,18
"EGS33041C012",12/04/17 12:00 AM,1333520,24205807.32,468,18.01,18.4,17.9,18.15
"EGS33041C012",12/05/17 12:00 AM,588643,10477623.9,133,17.6,17.9,17.55,17.8
"EGS33041C012",12/06/17 12:00 AM,176272,3059919.18,129,17.61,17.66,17.25,17.36
"EGS33041C012",12/07/17 12:00 AM,70145,1202169.38,71,17.21,17.29,17,17.14
"EGS33041C012",12/10/17 12:00 AM,477953,8152483.35,63,17,17.69,17,17.06
"EGS33041C012",12/11/17 12:00 AM,610839,10656403.89,349,17.4,17.62,17,17.45
"EGS33041C012",12/12/17 12:00 AM,973756,17317938.14,520,17.53,18.2,17.49,17.78
"EGS33041C012",12/13/17 12:00 AM,287699,5112916.98,124,17.95,18.1,17.4,17.77
"EGS33041C012",12/14/17 12:00 AM,704573,12334324.63,173,17.99,17.99,17.2,17.51
"EGS33041C012",12/17/17 12:00 AM,89537,1575832.87,70,17.51,17.8,17.51,17.6
"EGS33041C012",12/18/17 12:00 AM,544845,9593806.56,210,17.8,18,17.5,17.61
"EGS33041C012",12/19/17 12:00 AM,286827,4986635.06,78,17.51,17.51,17.1,17.39
"EGS33041C012",12/20/17 12:00 AM,102069,1750950.52,71,17.48,17.5,16.9,17.15
"EGS33041C012",12/21/17 12:00 AM,16879,289877.98,14,17.2,17.3,17,17.17
"EGS33041C012",12/24/17 12:00 AM,16155,274659.15,12,17.29,17.29,16.95,17
"EGS33041C012",12/25/17 12:00 AM,86451,1463043.72,69,17.01,17.3,16.8,16.92
"EGS33041C012",12/26/17 12:00 AM,66318,1123765.51,42,17.29,17.29,16.77,16.95
"EGS33041C012",12/27/17 12:00 AM,34476,573370.7,35,16.69,16.7,16.56,16.63
"EGS33041C012",12/28/17 12:00 AM,422490,7085798.16,80,16.61,16.9,16.6,16.77
"EGS33041C012",12/31/17 12:00 AM,13535,224549.7,26,16.76,16.76,16.5,16.59
